NCD 1 inch PE,,,,,,NCD 2 inch PE,,,,,,NCD 3 inch PE,,,,,,NCD 4 inch PE,,,,,,NCD 5 inch PE,,,,,,NCD bare,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty
1.00E-10,71403,3000000,0.023801,8.91E-05,,1.00E-10,29161,3000000,0.009720333,5.69E-05,,1.00E-10,19672,5000000,0.0039344,2.81E-05,,1.00E-10,9750,6000000,0.001625,1.65E-05,,1.00E-10,5410,8000000,0.00067625,9.19E-06,,1.00E-10,424564,3000000,0.141521333,0.000217195
1.00E-09,84879,3000000,0.028293,9.71E-05,,1.00E-09,34284,3000000,0.011428,6.17E-05,,1.00E-09,22737,5000000,0.0045474,3.02E-05,,1.00E-09,11612,6000000,0.001935333,1.80E-05,,1.00E-09,6456,8000000,0.000807,1.00E-05,,1.00E-09,559783,3000000,0.186594333,0.000249395
1.00E-08,118865,3000000,0.039621667,1.15E-04,,1.00E-08,47736,3000000,0.015912,7.28E-05,,1.00E-08,32406,5000000,0.0064812,3.60E-05,,1.00E-08,16198,6000000,0.002699667,2.12E-05,,1.00E-08,8877,8000000,0.001109625,1.18E-05,,1.00E-08,523670,3000000,0.174556667,0.000241217
1.00E-07,177168,3000000,0.059056,1.40E-04,,1.00E-07,71840,3000000,0.023946667,8.93E-05,,1.00E-07,48221,5000000,0.0096442,4.39E-05,,1.00E-07,24461,6000000,0.004076833,2.61E-05,,1.00E-07,13108,8000000,0.0016385,1.43E-05,,1.00E-07,320523,3000000,0.106841,0.000188716
1.00E-06,215990,3000000,0.071996667,1.55E-04,,1.00E-06,93061,3000000,0.031020333,1.02E-04,,1.00E-06,62974,5000000,0.0125948,5.02E-05,,1.00E-06,31585,6000000,0.005264167,2.96E-05,,1.00E-06,17018,8000000,0.00212725,1.63E-05,,1.00E-06,138954,3000000,0.046318,0.000124255
1.00E-05,222069,3000000,0.074023,1.57E-04,,1.00E-05,107022,3000000,0.035674,1.09E-04,,1.00E-05,73822,5000000,0.0147644,5.43E-05,,1.00E-05,36805,6000000,0.006134167,3.20E-05,,1.00E-05,20144,8000000,0.002518,1.77E-05,,1.00E-05,49209,3000000,0.016403,7.39437E-05
1.00E-04,210931,3000000,0.070310333,1.53E-04,,1.00E-04,116332,3000000,0.038777333,1.14E-04,,1.00E-04,82207,5000000,0.0164414,5.73E-05,,1.00E-04,41824,6000000,0.006970667,3.41E-05,,1.00E-04,22606,8000000,0.00282575,1.88E-05,,1.00E-04,16139,3000000,0.005379667,4.23465E-05
1.00E-03,192216,3000000,0.064072,1.46E-04,,1.00E-03,121611,3000000,0.040537,1.16E-04,,1.00E-03,89517,5000000,0.0179034,5.98E-05,,1.00E-03,45097,6000000,0.007516167,3.54E-05,,1.00E-03,24695,8000000,0.003086875,1.96E-05,,1.00E-03,4935,3000000,0.001645,2.34165E-05
1.00E-02,170654,3000000,0.056884667,1.38E-04,,1.00E-02,125112,3000000,0.041704,1.18E-04,,1.00E-02,96825,5000000,0.019365,6.22E-05,,1.00E-02,50353,6000000,0.008392167,3.74E-05,,1.00E-02,27703,8000000,0.003462875,2.08E-05,,1.00E-02,1399,3000000,0.000466333,1.24677E-05
0.1,152987,3000000,0.050995667,1.30E-04,,0.1,136633,3000000,0.045544333,1.23E-04,,0.1,118492,5000000,0.0236984,6.88E-05,,0.1,63339,6000000,0.0105565,4.19E-05,,0.1,35492,8000000,0.0044365,2.35E-05,,0.1,3684,30000000,0.0001228,2.0232E-06
0.2,144559,3000000,0.048186333,1.27E-04,,0.2,145286,3000000,0.048428667,1.27E-04,,0.2,134454,5000000,0.0268908,7.33E-05,,0.2,75386,6000000,0.012564333,4.58E-05,,0.2,42235,8000000,0.005279375,2.57E-05,,0.2,2479,30000000,8.26333E-05,1.65965E-06
0.3,136825,3000000,0.045608333,1.23E-04,,0.3,150544,3000000,0.050181333,1.29E-04,,0.3,147256,5000000,0.0294512,7.67E-05,,0.3,85375,6000000,0.014229167,4.87E-05,,0.3,49604,8000000,0.0062005,2.78E-05,,0.3,2054,30000000,6.84667E-05,1.5107E-06
0.4,130022,3000000,0.043340667,1.20E-04,,0.4,153176,3000000,0.051058667,1.30E-04,,0.4,157677,5000000,0.0315354,7.94E-05,,0.4,95605,6000000,0.015934167,5.15E-05,,0.4,56843,8000000,0.007105375,2.98E-05,,0.4,1935,30000000,0.0000645,1.46629E-06
