NCD 1 inch PE,,,,,,NCD 2 inch PE,,,,,,NCD 3 inch PE,,,,,,NCD 4 inch PE,,,,,,NCD 5 inch PE,,,,,,NCD bare,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty
0.5,63,7000000,0.000009,1.13389E-06,,,Uncertainty matrix table(binned),,0.1-2.0,2.0-3.0,3.0-4.0,4.0-7.0,7.0-11.0,,,,,,,,,,,,,,,,,,,,,
0.6,78,7000000,1.11429E-05,1.26168E-06,,,,SH1,1.1E-04,8.3E-05,7.4E-05,6.2E-05,4.8E-05,,,,,,,,,,,,,,,,,,,,,
0.7,73,7000000,1.04286E-05,1.22057E-06,,,,SH2,1.3E-04,1.2E-04,1.1E-04,1.0E-04,8.6E-05,,,,,,,,,,,,,,,,,,,,,
0.8,102,7000000,1.45714E-05,1.44279E-06,,,,SH3,8.2E-05,9.0E-05,8.8E-05,8.3E-05,7.4E-05,,,,,,,,,,,,,,,,,,,,,
0.9,105,7000000,0.000015,1.46385E-06,,,,SH4,1.4E-06,4.9E-06,7.0E-06,1.1E-05,1.5E-05,,,,,,,,,,,,,,,,,,,,,
1,83,7000000,1.18571E-05,1.30149E-06,,,,SH5,1.5E-06,1.3E-06,1.1E-06,8.8E-07,6.6E-07,,,,,,,,,,,,,,,,,,,,,
2,620,7000000,8.85714E-05,3.55711E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1879,7000000,0.000268429,6.19249E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2970,7000000,0.000424286,7.78539E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5187,7000000,0.000741,1.02887E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6512,7000000,0.000930286,1.15281E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9382,7000000,0.001340286,1.38372E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10673,7000000,0.001524714,1.47586E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10920,7000000,0.00156,1.49284E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11495,7000000,0.001642143,1.53164E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12326,7000000,0.001760857,1.58604E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
